词频,单词,发音,中文
653,to,[t?], prep.向 往 给... 于... 直到...为止 在...之前 比 对 [表示程度、范围] 到 达 [域] Tonga  汤加
476,of,[?v], prep....的 由...制成的 离 关于 对于
467,be,[bi], prep.是 在 存在 [域] Belgium  比利时 [军] Base Ejection 弹底喷射 symb [化]铍 Be beryllium 
366,in,[?n], prep.在...之内 上  在...期间 从事于 符合 穿着 adv.进入 朝里 在家 已到达 来临 adj.在里面的 执政的 n.执政者 入口 India 印度 In 元素铟 indium Intelligent Network 智能网络
312,it,[a?'ti?], pron.它 Italy 意大利 Information Technology 信息技术
280,he,[i], pron.他n.男 雄 [军] High Explosive 高爆炸药 symb [化]氦 He helium 
271,that,[??t],adj.那 那个 pron.那 那个 conj.引导从句
248,you,[ju?], pron.你 你们
187,for,[f?], prep. 表示目的 为了 因为 至于 对于 适合于 conj.因为
166,have,[h?v],vt.有 持有 拿 从事 某事  aux.已经
162,with,[w??], prep.有 以 用 同... 由于 和...一致 赞成 关于 就
149,its,[?ts], pron.它的
141,this,[??s],adj.这 这个 今 本 pron.这 这个
139,people,[pi?p?l],n.人 人们 民族 人类 公民vt.使住 满 人
133,more,[m??],adj.更多的n.更多adv.更 更多 更加 超过 多 大大高于 num.更多
116,by,[ba?], prep.在附近 在旁边 经 由 依据 按照 通过 用adv.通过 经过 附近 [域] Belarus 白俄罗斯
111,as,[?z],adv.同样地 被看作 象 prep.当做 conj.与...一样 当...之时 象 因为 [域] American Samoa 东萨摩亚 [军] Air to Surface 空对地  As symb [化]砷  arsenic 
111,what,[w?t], pron.什么int.怎么 多么adj.什么adv.到什么程度 在哪一方面n.本质 实质 要素
110,from,[fr?m], prep.从 今后 来自 由于
105,or,[??], conj.或 或者 还是 [军] Operational Requirement 作战需求 [军] Operations Research 运筹学研究
102,not,[n?t],adv.不
102,can,[k?n],vt.装进罐中 把食品装罐n.罐头 铁罐 conj.能 可以
96,question,[kwest??n],n.问题 疑问 询问v.询问 审问 怀疑
95,will,[w?l],n.意志 决心 意向 遗嘱v.aux.将 愿意 必须
93,one,[w?n], pron.一个人 任何人 一方 num.一 一个adj.一方的 某一 同样的
92,do,[du?],v.做 实行 尽力 给予 可用 制作 算出 解答 [域] Dominican Republic  多米尼加共和国
92,passage,[p?s?d?],n.通过 经过 通道 通路  一 段  一 节
75,work,[w??k],n.工作 劳动 操作 职业 [物]功 手工 作品 机件v. 使 工作  使 运转 起作用 造成 产生 经营  使 渐渐移动 煅制
70,but,[b?t], prep.除...以外 conj.而是 但是adv.几乎 仅仅
70,who,[hu?], pron.谁 那...的 人   世界卫生组织 WHO the World Health Organization 
69,about,[?'ba?t],adv.附近 大约 转向 左右 周围 prep.在附近 关于 在...周围 忙于
68,say,[se?],v.说 讲 背诵 念 表示 比方说 假定n.话语 想说的意见 发言权
64,make,[me?k],vt.制造 安排 使成为 认为 产生 获得 进行 构成vi.开始 前进 增大 被制造 被处理n.制造 构造 性情
63,may,[me?], aux.可能 也许 可以 祝 愿n. May  五月 能 可能
63,hear,[h??],vt.听到 听说 听取 审理 允许vi.听见 听到
63,she,[?i?], pron.[主格]她
63,how,[ha?],adv. 指方式 方法 健康状况等 怎样  指范围 程度 数量 价值 多少 多么n.方式 或方法 
62,time,[ta?m],n.时间 时侯 时机 节拍 期限 次数 时期 比赛限时vt.安排...的时间 记录...的时间 计时 定时vi.打拍子  ... 合拍adj.时间的 记时的 定时的 定期的 分期的  n.时间 日期
61,good,[ɡ?d],n.好 好事 慷慨的行为 好处 利益adj.优良的 上等的 虔诚的 愉快的 慈善的 好心的 有益的
60,at,[?t], prep.在 于 向 对准 在...方面 Austria 奥地利
59,than,[??n], conj.比 prep.与...相比较
58,section,[sek??n],n.部分 断片 部件 节 项 区 地域 截面
58,answer,[ɑ?ns?],n.答案 回答 答辩 抗辩v.回答说 答复说 符合 反响 响应
57,study,[st?di],n.学习 研究 学科 试作 论文 求学 努力 书房vt.学习 攻读 研究 考虑 计划vi.学习 试图
57,interest,[?ntr?st],n.兴趣 关心 重要性 影响 利息 [常 pl.] 利益 利害vt.使发生兴趣 引起...的注意
