单词,词频
the,814
to,636
a,477
of,474
and,367
in,313
is,296
are,276
that,239
on,194
A,180
you,165
with,160
It,156
for,151
their,147
s,137
people,126
more,124
have,114
They,113
it,113
from,109
be,107
or,104
as,103
not,102
they,101
by,100
can,89
C,86
D,84
will,80
t,78
The,76
B,72
passage,71
this,70
about,69
one,68
who,66
may,63
What,63
than,59
time,56
was,55
do,54
In,53
we,53
an,52
them,51
just,50
work,50
at,50
based,49
what,48
I,46
students,46
should,46
Questions,45
He,44
letter,41
You,41
your,41
has,41
many,40
Answer,39
through,39
some,38
were,38
when,38
Directions,37
questions,37
how,37
but,37
For,36
only,35
there,35
our,35
stress,35
does,35
children,34
hear,33
Sheet,33
But,33
these,33
four,32
other,32
study,32
said,32
each,31
up,31
school,31
women,31
heard,30
minutes,30
out,30
high,30
Section,29
section,29
choices,29
much,29
social,29
if,29
f,29
two,28
corresponding,28
words,28
This,28
research,28
conversation,27
three,27
author,27
employees,27
once,26
best,26
new,26
often,26
J,26
She,26
found,26
like,26
had,26
How,26
numbers,26
single,25
line,25
his,25
make,25
into,25
which,25
help,25
health,25
also,25
her,24
change,24
news,24
so,24
IT,24
less,23
marked,23
mark,23
centre,23
get,23
following,23
experience,23
number,23
obesity,23
interesting,23
information,22
even,21
choose,21
use,21
One,21
good,21
all,21
being,21
did,21
those,21
different,21
he,21
report,21
paragraph,20
things,20
disease,20
way,20
If,20
working,20
learn,20
important,20
years,20
men,20
teens,20
answer,19
before,19
bank,19
l,19
says,19
home,19
We,19
studies,19
most,19
interest,19
career,19
long,18
must,18
job,18
food,18
Part,18
over,18
early,18
likely,18
might,18
now,18
To,18
reading,18
After,17
skills,17
given,17
life,17
year,17
mindset,17
say,17
There,17
no,17
day,17
between,17
feel,17
media,17
find,16
become,16
its,16
human,16
going,16
teachers,16
physical,16
made,16
i,16
been,16
By,16
too,16
ten,15
Each,15
scientists,15
companies,15
growth,15
part,15
traditional,15
write,15
us,15
word,14
choice,14
any,14
would,14
activities,14
take,14
money,14
boredom,14
world,14
curiosity,14
books,14
something,13
end,13
question,13
Then,13
business,13
first,13
People,13
Most,13
L,13
M,13
well,13
ninth,13
grade,13
then,13
better,13
little,13
r,13
my,13
someone,13
she,13
contact,13
own,12
close,12
getting,12
Many,12
statements,12
such,12
math,12
because,12
done,12
Passage,12
company,12
today,12
problem,12
where,12
need,12
winners,12
show,12
tend,12
American,12
male,12
At,11
Both,11
spoken,11
making,11
spent,11
When,11
among,11
lives,11
performance,11
economy,11
very,11
go,11
could,11
same,11
ways,11
industry,11
really,11
And,11
problems,11
boring,11
o,11
re,11
read,11
don,11
others,11
relationships,11
weight,11
ago,11
communication,10
care,10
around,10
j,10
Comprehension,10
academic,10
matter,10
think,10
having,10
mental,10
recent,10
showed,10
left,10
That,10
These,10
play,10
without,10
setbacks,10
narrow,10
example,10
Why,10
anumeric,10
heart,10
Dr,10
gender,10
come,9
house,9
successful,9
passages,9
great,9
space,9
unique,9
lL,9
remote,9
N,9
Some,9
difficult,9
themselves,9
young,9
impact,9
support,9
shows,9
So,9
responses,9
improve,9
public,9
More,9
followed,9
technology,9
needed,9
educators,9
cognitive,9
down,9
